RunNumber,BackBiasVoltage,VCASN,ITHR,,Threshold [DAC]
1,0,47,40,,
2,0,47,50,,
3,0,47,60,,
4,0,47,70,,
5,0,47,80,,
6,0,47,90,,
7,0,47,100,,
8,0,50,40,,
9,0,50,50,,
10,0,50,60,,
11,0,50,70,,
12,0,50,80,,
13,0,50,90,,
14,0,50,100,,
15,0,53,40,,
16,0,53,50,,
17,0,53,60,,
18,0,53,70,,
19,0,53,80,,
20,0,53,90,,
21,0,53,100,,
22,0,56,40,,
23,0,56,50,,
24,0,56,60,,
25,0,56,70,,
26,0,56,80,,
27,0,56,90,,
28,0,56,100,,
29,0,59,40,,
30,0,59,50,,
31,0,59,60,,
32,0,59,70,,
33,0,59,80,,
34,0,59,90,,
35,0,59,100,,
36,0,62,40,,
37,0,62,50,,
38,0,62,60,,
39,0,62,70,,
40,0,62,80,,
41,0,62,90,,
42,0,62,100,,
43,0,65,40,,
44,0,65,50,,
45,0,65,60,,
46,0,65,70,,
47,0,65,80,,
48,0,65,90,,
49,0,65,100,,
50,0,67,40,,
51,0,67,50,,
52,0,67,60,,
53,0,67,70,,
54,0,67,80,,
55,0,67,90,,
56,0,67,100,,
