Run Number, 1 pE, 2 pE, 3 pE, 4 pE, 5 pE, 6 pE, 7 pE
Cosmics000416,784,101,17,11,1,1,0
Cosmics000417,742,74,13,8,1,1,1
Cosmics000418,698,107,23,11,1,0,0
Cosmics000419,681,100,18,9,1,1,0
Cosmics000420,637,81,26,7,1,1,1
Cosmics000421,678,97,25,8,1,1,1
Cosmics000422,648,87,16,7,1,0,0
Cosmics000423,643,91,18,6,4,2,0
Cosmics000424,684,78,19,15,1,2,1
Cosmics000425,695,116,18,8,3,0,1
Cosmics000426,671,102,30,5,3,2,1
Cosmics000427,636,110,19,6,3,0,0
Cosmics000428,669,101,22,7,3,3,2
Cosmics000429,667,91,15,7,0,0,0
Cosmics000430,658,93,18,9,2,2,3
Cosmics000431,663,96,18,6,3,1,2
Cosmics000432,678,103,30,7,2,1,1
Cosmics000433,658,90,28,8,2,2,1
Cosmics000434,654,95,19,8,5,1,0
