Chip,VBB,VCASN,ITHR,Threshold,ThresholdErr
REF3,3,101,50,9.02,1.95
REF3,3,101,60,10.73,1.95
REF3,3,101,70,12.39,1.95
REF3,3,101,80,14.01,1.91
REF3,3,101,90,15.57,1.81
REF3,3,101,100,16.97,1.60
REF3,3,103,50,7.57,1.90
REF3,3,103,60,9.02,1.91
REF3,3,103,70,10.42,1.91
REF3,3,103,80,11.79,1.90
REF3,3,103,90,13.13,1.88
REF3,3,103,100,14.45,1.83
REF3,3,105,50,6.54,1.85
REF3,3,105,60,7.82,1.86
REF3,3,105,70,9.05,1.87
REF3,3,105,80,10.25,1.87
REF3,3,105,90,11.42,1.86
REF3,3,105,100,12.57,1.85
REF3,3,107,50,5.79,1.79
REF3,3,107,60,6.96,1.80
REF3,3,107,70,8.08,1.82
REF3,3,107,80,9.17,1.83
REF3,3,107,90,10.22,1.83
REF3,3,107,100,11.26,1.83
REF3,3,109,50,5.22,1.73
REF3,3,109,60,6.32,1.75
REF3,3,109,70,7.36,1.76
REF3,3,109,80,8.37,1.77
REF3,3,109,90,9.36,1.78
REF3,3,109,100,10.31,1.79
REF3,3,112,50,4.57,1.63
REF3,3,112,60,5.60,1.65
REF3,3,112,70,6.58,1.67
REF3,3,112,80,7.52,1.69
REF3,3,112,90,8.43,1.70
REF3,3,112,100,9.32,1.71
